"annotation_id","annotator","created_at","duygu_label","id","label","lead_time","text","updated_at"
3968,"2","2024-08-06T23:16:57.003221Z","[{""start"":96,""end"":127,""text"":""vodafone mobil internet kapsamı"",""labels"":[""positive""]},{""start"":0,""end"":27,""text"":""türk telekom fiber internet"",""labels"":[""positive""]},{""start"":66,""end"":76,""text"":""ping değer"",""labels"":[""negative""]},{""start"":154,""end"":167,""text"":"" türk telekom"",""labels"":[""positive""]}]",48558,"[{""start"":96,""end"":127,""text"":""vodafone mobil internet kapsamı"",""labels"":[""Entity""]},{""start"":0,""end"":27,""text"":""türk telekom fiber internet"",""labels"":[""Entity""]},{""start"":66,""end"":76,""text"":""ping değer"",""labels"":[""Entity""]},{""start"":154,""end"":167,""text"":"" türk telekom"",""labels"":[""Entity""]}]",61.867,"türk telekom fiber internet ev geç beri kullan indirme hız harika ping değer online oyun yüksel vodafone mobil internet kapsamı geniş ol ev sabit internet türk telekom tercih et","2024-08-06T23:16:57.003221Z"
3969,"2","2024-08-06T23:18:01.636150Z","[{""start"":105,""end"":121,""text"":""turkcell tarife "",""labels"":[""negative""]},{""start"":55,""end"":74,""text"":""turkcell 5G kapsamı"",""labels"":[""positive""]},{""start"":0,""end"":16,""text"":""vodafone tarife "",""labels"":[""positive""]}]",48559,"[{""start"":105,""end"":121,""text"":""turkcell tarife "",""labels"":[""Entity""]},{""start"":55,""end"":74,""text"":""turkcell 5G kapsamı"",""labels"":[""Entity""]},{""start"":0,""end"":16,""text"":""vodafone tarife "",""labels"":[""Entity""]}]",63.833,"vodafone tarife uygun ol şehir bölge sinyal sorun yaşa turkcell 5G kapsamı geniş sinyal kalite iyi görün turkcell tarife FUP sınır ol can sıkıcı","2024-08-06T23:18:01.636150Z"
3970,"2","2024-08-06T23:19:08.649701Z","[{""start"":0,""end"":27,""text"":""türk telekom müşteri hizmet"",""labels"":[""positive""]},{""start"":42,""end"":73,""text"":""vodafone online destek sistemi "",""labels"":[""negative""]},{""start"":86,""end"":90,""text"":""avea"",""labels"":[""negative""]},{""start"":113,""end"":129,""text"":""müşteri temsilci"",""labels"":[""negative""]}]",48560,"[{""start"":0,""end"":27,""text"":""türk telekom müşteri hizmet"",""labels"":[""Entity""]},{""start"":42,""end"":73,""text"":""vodafone online destek sistemi "",""labels"":[""Entity""]},{""start"":86,""end"":90,""text"":""avea"",""labels"":[""Entity""]},{""start"":113,""end"":129,""text"":""müşteri temsilci"",""labels"":[""Entity""]}]",66.188,"türk telekom müşteri hizmet ara sorun çöz vodafone online destek sistemi karmaşık gel avea yıl kullandığım dönem müşteri temsilci ilgi az","2024-08-06T23:19:08.649701Z"
3971,"2","2024-08-06T23:19:51.733486Z","[{""start"":0,""end"":4,""text"":""thy "",""labels"":[""positive""]},{""start"":102,""end"":110,""text"":""pegasus "",""labels"":[""negative""]}]",48561,"[{""start"":0,""end"":4,""text"":""thy "",""labels"":[""Entity""]},{""start"":102,""end"":110,""text"":""pegasus "",""labels"":[""Entity""]}]",41.768,"thy yaptığım istanbul new york seyahat business class ta uç koltuk konfor yemeklerin lezzet memnun et pegasus yaptığım iç hat uç koltuk aralık oldukça dar ol rahatsız ol","2024-08-06T23:19:51.733486Z"
3972,"2","2024-08-06T23:20:15.726455Z","[{""start"":0,""end"":11,""text"":""sunexpress "",""labels"":[""negative""]},{""start"":124,""end"":128,""text"":""thy "",""labels"":[""positive""]}]",48562,"[{""start"":0,""end"":11,""text"":""sunexpress "",""labels"":[""Entity""]},{""start"":124,""end"":128,""text"":""thy "",""labels"":[""Entity""]}]",23.064,"sunexpress antalya istanbul döner uç hava muhalefet neden saat gecik havalimanı bekleme süreç yolcu yeterli bilgi verilmedi thy yaptığım seyahat böyle bir sorun yaşamadım","2024-08-06T23:20:15.727456Z"
3973,"2","2024-08-06T23:21:10.820172Z","[{""start"":0,""end"":20,""text"":""pegasus bilet fiyat "",""labels"":[""positive""]},{""start"":29,""end"":60,""text"":""uçak iç ek hizmet ücretlendirme"",""labels"":[""negative""]},{""start"":80,""end"":83,""text"":""thy"",""labels"":[""positive""]}]",48563,"[{""start"":0,""end"":20,""text"":""pegasus bilet fiyat "",""labels"":[""Entity""]},{""start"":29,""end"":60,""text"":""uçak iç ek hizmet ücretlendirme"",""labels"":[""Entity""]},{""start"":80,""end"":83,""text"":""thy"",""labels"":[""Entity""]}]",54.359,"pegasus bilet fiyat uygun ol uçak iç ek hizmet ücretlendirme yap hoşuma gitmedi thy kabin bagaj hak geniş ücretsiz iç servis bulun","2024-08-06T23:21:10.821174Z"
3974,"2","2024-08-06T23:21:54.361761Z","[{""start"":0,""end"":8,""text"":""netflix "",""labels"":[""positive""]},{""start"":88,""end"":94,""text"":""BluTV "",""labels"":[""positive""]},{""start"":129,""end"":136,""text"":""puhutv "",""labels"":[""negative""]}]",48564,"[{""start"":0,""end"":8,""text"":""netflix "",""labels"":[""Entity""]},{""start"":88,""end"":94,""text"":""BluTV "",""labels"":[""Entity""]},{""start"":129,""end"":136,""text"":""puhutv "",""labels"":[""Entity""]}]",42.719,"netflix orijinal içerik gerçekten kaliteli özellikle yabancı dizi geniş bir seçenek sun BluTV yerli dizi film yer ver hoşuma git puhutv nin içerik çeşitliliği sınırlı","2024-08-06T23:21:54.361761Z"
3975,"2","2024-08-06T23:22:32.182635Z","[{""start"":0,""end"":6,""text"":""Exxen "",""labels"":[""neutral""]},{""start"":65,""end"":73,""text"":""netflix "",""labels"":[""positive""]},{""start"":85,""end"":92,""text"":""disney "",""labels"":[""positive""]}]",48565,"[{""start"":0,""end"":6,""text"":""Exxen "",""labels"":[""Entity""]},{""start"":65,""end"":73,""text"":""netflix "",""labels"":[""Entity""]},{""start"":85,""end"":92,""text"":""disney "",""labels"":[""Entity""]}]",35.555,"Exxen kullanıcı arayüz basit kullanışlı içerik çeşitliliği henüz netflix geniş değil disney çocuk içerik oldukça zengin","2024-08-06T23:22:32.182635Z"
3976,"2","2024-08-06T23:23:27.339571Z","[{""start"":0,""end"":24,""text"":""amazon prime aylık ücret"",""labels"":[""positive""]},{""start"":94,""end"":102,""text"":""netflix "",""labels"":[""positive""]}]",48566,"[{""start"":0,""end"":24,""text"":""amazon prime aylık ücret"",""labels"":[""Entity""]},{""start"":94,""end"":102,""text"":""netflix "",""labels"":[""Entity""]}]",53.896,"amazon prime aylık ücret diğer platform göre uygun türkiye sunulan içerik çeşitliliği sınırlı netflix farklı paket seçenek ol kullan avantajlı","2024-08-06T23:23:27.339571Z"
3977,"2","2024-08-06T23:23:51.468934Z","[{""start"":0,""end"":27,""text"":""türk telekom fiber internet"",""labels"":[""positive""]},{""start"":42,""end"":46,""text"":""thy "",""labels"":[""negative""]}]",48567,"[{""start"":0,""end"":27,""text"":""türk telekom fiber internet"",""labels"":[""Entity""]},{""start"":42,""end"":46,""text"":""thy "",""labels"":[""Entity""]}]",21.252,"türk telekom fiber internet hız memnun et thy yaptığım seyahat uçak ki fi bağlantı yavaştı","2024-08-06T23:23:51.468934Z"
